,name,city,content,score,date
0,寻鹑上, ,对易烊千玺本来是路人的，但是被他演技惊到了…真的，演的好，和周冬雨对视那场戏，我也跟着哭了。,力荐,2019-10-25
1,凌睿,重庆,"面对坠楼，他们忙着拍照发微信，只有她为她盖上衣服。
面对欺凌，他们假装没看见，只有她选择报警。
因为盖衣服，她成了下一个被欺凌的人；
因为报警，她遭到疯狂报复。
袖手旁观的人平安无事，制止恶行却受到牵连。
被欺凌了没人管，欺凌你的人死了马上就管了。
受到伤害无法得到保护，犯了罪绝不让你少判一天。
当初不重视你的遭遇；
如今却想尽快结案，让你接受法律制裁。
人人都说可以帮你，其实没有人能帮你。
受过教育不一定就品质高尚；
没上过学也可以善良正直。
家境富裕的好学生其实是校园霸凌的始作俑者；
你眼中的小混混却真正付出行动保护弱者。
你只看到他打架，却没看到他是为被欺凌的人挺身而出。
你不会无私奉献，我也不会，但是他会。
为了帮助她实现梦想，他甘愿献出一切。
你保护世界，我保护你。
只有你赢了，我才不算输。",推荐,2019-10-25
2,刘十九,北京,经历过校园霸凌的人很难走出来，但可以在电影里好好哭一场,推荐,2019-10-25
3,法兰西胶片,北京,曾国祥好得有点不能理解了，他是用什么意识拍出模拟考试结束后全班按分数重新排座位然后整个班级在那搬桌搬椅搬来搬去的，他怎么知道这么多大陆青少年不自觉的常识的？并且搬桌子的形态和校外不良少年打麻将做成生存质感上的呼应，生而围困，出局即亡。《少年的你》远不是反欺凌所覆盖得了的，成人毒鸡汤的灌输（长大就是一场跳水），青春期微妙的问候（热不热？硬不硬？），惊悚元素活学活用（开场自杀戏调度），剪辑上的神功（高考试卷开封镜头切挖掘机镜头），有点超出想象了。和导演的神奇一起起步的还有周冬雨开挂三年的神演技，到现在真实的不可阻挡了，越是需要封闭空间上的情绪，死角中被制压的求生欲，越是能调动起来，她所有的笑着哭或哭着笑都是最多义的，还有她特别经得起卡在额头到下巴的大特写，她是表演坚定的弱者的天才。,推荐,2019-10-25
4,王大根,北京,修改的部分应该不多，估计就是删除了跳楼尸体和一些霸凌的正面镜头？本来以为会是比较虚化背景的文艺青春片，没想到高考元素竟然占了相当大的比重，简直有点《毛坦厂中学高考杀人事件》的意思了，Good Choice！易烊千玺戏份不算特别多，但也没太掉链子，当然其实还是周冬雨主场，这么看来一个周冬雨吊打八个马思纯也没问题啊……我不得不由衷地感叹，国内第一代养成系偶像终于愿意长大了，能演吻戏了，能抽烟了，最重要的是能开黄腔了！我们老姐姐等这一天等了多久啊……,推荐,2019-10-25
5,郑二千小姐, ,恶意就是这样的，无端的针对一个人，即使别人没有做错什么。,力荐,2019-10-25
6,二十二岛主,"<img src=""https://img3.doubanio.com/f/sns/d7ae4d4dbb848a408708f631fbd660e788c3c773/pics/sns/people/medal_kind1.png"" height=""20"" />",买的最早的9点场，看完有点恍惚，不清楚这是不是想看到的《少年的你》。它很真实，又有点生硬。真实在于它对暴力、人性和迷茫最直观的呈现，生硬在于电影片头片尾求生欲极强的“和谐导语”，以及一看就是后配上去的美化教育和法律制度的台词。《少年的你》最终还是妥协了，我相信原来的版本会更加灰暗，更加令人心疼。陈念问小北：你可以保护我吗？同样的问题问自己，我们其实根本没能力保护这样一部电影，戏中从头至尾呈现的无力感也带到了戏外。我们没办法改变校园欺凌现象仍然存在的现实，甚至没办法完整看到一部讲述这个题材的电影。易烊千玺很好，他为小北赋予了一种在成熟与稚嫩间徘徊的少年感，而这正是这一角色最重要的特质。小北在成长，陈念在成长，易烊千玺在成长，曾国祥的创作在成长，我们也在成长。只要成长，就还有希望，不是吗？,推荐,2019-10-25
7,桃桃林林,"P&#39;yŏngyang, North Korea",这个题材，做成这样，真的很不容易了。尤其是，影片在影像上非常有特点，大量的特写镜头、跟拍、手持，以及碎片式剪辑，营造出强烈的恐慌与不安感。这种情绪，其实就是角色在片中的情绪，它以影像的方式，最直接延伸给观众。易烊千玺和周冬雨的表现都很不错，起码，他们都经住了大银幕特写的考验，而且，又都有各自的变化。导演其实很多小野心，比如可以看看他是怎么处理校园空间和调度的。“只有你赢，我才不算输”，很伤感，也很中二。,推荐,2019-10-25
8,西楼尘,江苏苏州,脸上那么脏，可是她干净；身上都是伤，但是他不疼。想变聪明，押得中人生；想变强大，足够保护她。选择相信我，从阴沟里爬出，想活命就闭嘴。跟在你身后，不能同路不能并肩，自己学着长大。只有你赢我才没输，你在乐园我才在天堂。陈念欠小北的不是钱不是饭，是高考结束那天，牵着手迈过十八岁的盛夏。,推荐,2019-10-25
9,民事执行处, ,主演周冬雨和易烊千玺选角实在巧妙，周冬雨演出十七八岁少女毫不违和。易烊千玺演出时我能完全脱离他以往乖乖小孩的印象，在我面前就是一个执拗满身是刺，深处泥淖在自我放弃边缘挣扎的问题少年。,力荐,2019-10-25
