,name,city,content,score,date
0,麻绳,北京,徐峥胜出。陈凯歌是作为总导演自告奋勇地拿了最烂的那个本子吗？,还行,2019-09-28
1,文刀大土申,广东广州,竟然超出预期，竟然陈凯歌最差,推荐,2019-09-29
2,Not dry,湖北武汉,第三段那个小男孩太棒了,力荐,2019-09-30
3,凌睿,重庆,"《北京你好》最佳。宁浩竟然能把北京奥运会如此盛大的赛事拍得那么接地气，而且笑中带泪。
以一张奥运会门票为线索，巧妙串起2008年另一件事。
表面上是喜剧，内核其实是悲剧，笑着笑着就哭了。
《前夜》次之。当他们以为没有人理他们的时候，结果所有人都尽了绵薄之力，从烟斗到勺子，从铁锤到长命锁，瞬间泪崩。
《夺冠》和《北京你好》类似，都是透过老百姓的视角反映大时代大事件，主角不是伟人，也没有什么轰轰烈烈的壮举，但是最能让人共鸣。
《白昼流星》借助航天探讨贫富差距。
这个年代人类已经能进入太空，也有的人还看不起病、买不起衣服。
扶贫不仅仅在于物质层面，更重要的是对教育和思想的扶贫。
白昼流星不是流星，也不是宇宙飞船，而是那些带领他人前行的人——探索宇宙的宇航员，又或者是让小孩见识到世界广阔的老者。",推荐,2019-09-29
4,米米路亚0815,湖北武汉,最喜欢女排那个故事，小演员太可爱了。     优叔一出现感觉过年了。,力荐,2019-09-30
5,糖小包,宁夏银川,我以前是不怎么感冒献礼片的，这次因为朱一龙的缘故关注了我和我的祖国，才发现我比自己想象中更爱这个国家。这部献礼片的意义，是串联，是纪念，是传承，非常适合全家一起观看。,力荐,2019-09-30
6,_,北京,几个人一起看，前面排名无所谓，最差大家都很一致——白昼流星  因此扣了一星,推荐,2019-09-30
7,安东,山东青岛,就像什么呢，就像一个小伙子想对女孩表达爱意，有太多的甜言蜜语可讲，而七个小伙儿一拥而上同时表白，除了“爱爱爱”就听不到别的声音了，慷慨激昂又空洞苍白。,较差,2019-09-30
8,西楼尘,江苏苏州,旗杆上升起的不是一块红布，报纸上登载的不是一个名字，电视外错过了情窦，鸟巢里交换了运气。秒针精确了百年的等待，流星划破了回乡的急迫。女排夺冠终结了我最短的暗恋，核弹爆破公开了你最长的沉默。奥运开幕兑换了我最大的运气，香港回归校准了你最久的思念。每个历史瞬间，都有回忆我们自己记得。,推荐,2019-09-28
9,悠三岁,北京,宁浩是最好的，葛大爷是完美的。,推荐,2019-09-28
10,影志,北京,谁能想到呢？这可能是国庆档最好看的一部。从片头王菲主题曲开始就被渲染，看之前有主旋律的刻板印象，但当故事从一个个小人物的切口开始讲述后，就会忘掉主旋律的影子，进入这些故事。2个半小时不嫌长，7个故事亲身经历后面4个，喜欢程度按：徐峥的《夺冠》>宁浩的《北京你好》>张一白的《相遇》>管虎的《前夜》>文牧野的《护航》>陈凯歌的《白昼流星》>薛晓璐的《回归》。爬上房顶的求助张罗、陈旧的《青春之歌》、屋顶上的天线超人、一秒也不能等的东方之珠、萨马兰奇送的奥运门票、回乡的人和没能实现的飞行…每一个无名的“我”都是历史书里看不到的，又可爱又鲜活。有笑有泪，原来我们就是这样在历史长河中经历了生活。,推荐,2019-09-28
11,掉线,北京,这才是主旋律电影正确的打开方式啊，没有一味强调家国情怀，几乎都是以普通人，小人物视角去切入，共鸣感和好看程度一下就上来了。戏剧化夸张也都在可接受范围内，不会有“假大空”之感。而且比较难得的是，虽然风格各异，作为故事合集却都维持在了水准之上，最喜欢的是徐峥导演的《夺冠》，明快又充满童趣。,推荐,2019-09-30
12,黄青蕉,北京,任务型电影拍成这样可以了，难得的大时代下看到一点小人性，徐峥（居然）最佳，宁浩第二，其他正常发挥，凯歌老师…emmmmm儿子特写拍太多了哈,推荐,2019-09-29
13,LOOK,上海,三星都给徐峥这段。基本就是卡萨布兰卡+繁花，唯一缺陷是冬冬长大后怎么就变成了吴京而不是胡歌。宁浩这段分寸全靠葛优掌控。管虎这是被罚再拍一次旗帜么？张一白浪费了好题材，本可以是柳云龙风筝蒙冤硬挺情节，但演员没有驾驭好，给弄成了话剧。文牧野最大亮点是雷佳音的荤段子。陈凯歌就又是虚头巴脑的玩意。薛晓璐零蛋。,还行,2019-09-29
14,西小瓜,北京,命题作文……糊弄谁呢,很差,2019-10-01
15,山鬼光影,河北石家庄,《我和我的祖国》由七位导演各执一环、按年代事件串接，虽风格各异但共成一色，十分特别。与前几个故事或昂扬或细腻或幽默不同，由陈凯歌执导、第六个亮相的《白昼流星》则大气、温暖。“李叔”于荒漠戈壁的坚守，沃德乐兄弟的迷途知返，都在陈凯歌娴熟老练的转切对接、铺垫推进中，化作沁心的感动。而故事的暖又与雄浑壮美的画面相映衬，佐证了陈凯歌的把控功力。,推荐,2019-09-28
