,name,city,content,score,date
0,锦衣夜行包黑炭,北京,王子文前夫是脑残吗？把孩子的妈赶出去，自己住公司，让自己的孩子和陌生女人住一块。。。还要孩子的抚养权干嘛,较差,2019-11-21
1,孙大胡子, ,我就喜欢每天下班看十分钟这种人人都住五亿大豪宅的无脑青春剧，叫人觉得啥都不用想，啥钱都好挣,很差,2019-11-20
2,吹退盆, ,张鲁一真的非常有魅力，以前看红色的时候就特别喜欢他,力荐,2019-11-20
3,❤、拂晓❤,Aruba,掐指一算。女一男二离婚，男一作为他们俩的离婚律师，和女一是欢喜冤家，慢慢和女一产生感情，女一离婚后没有生活来源出去工作事业越做越好，男二看女一过的好又来复合，女一拒绝他，并和男一在一起了，争取到了孩子的抚养权。,null,2019-11-20
4,不二幸村, ,其实王子文还挺适合安安这个角色的，但是张鲁一真的没有律师的那个气质。而且安安前夫的人设是个奇葩么？一边拼了命的争夺孩子的抚养权，一方面又不照顾孩子。,还行,2019-11-27
5,夜行黄沙道中, ,安安许朗真的超级可以啊，一天两集不够看,力荐,2019-11-20
6,zts,"乐清, 温州",爱上前夫的离婚律师，很狗血很傻白甜，不过张鲁一把男主演的好可爱，也能巧妙压制住女主的胡搅蛮缠，让剧情有趣了不少，PS富太太离婚再就业真的是东方台都市剧一大俗套,还行,2019-11-24
7,小狗撞死,浙江杭州,没想到鱼旦咸肉期才来演偶像剧哈哈哈哈哈哈哈哈不过我还是爱他,还行,2019-11-30
8,鬼鬼, ,麻雀的时候就很喜欢张鲁一，这部剧中的许朗不一样的风格展现，也很有看头,推荐,2019-11-20
9,jsygncbl, ,王子文真的是娇小可爱型，配上张鲁一这搭配简直绝了,力荐,2019-11-20
10,阿汪和小萝贝儿,"Los Angeles, United States",求求了，不要再做这种侮辱人的故事了。要讲女性成长就一定要先把她写成傻逼吗？可不可以现实一点，写得真实一些，即使没那么抓马，大家也愿意看的谢谢。,较差,2019-11-23
11,俺坏气十足, ,鱼旦终于不打鬼子了！甜甜的恋爱给我们搞起来！,力荐,2019-11-20
12,溯笔十七, ,王子文挺适合这种角色的自然不做作,推荐,2019-11-20
13,宋俣萱, ,90后的二婚，有点意思，可以观望观望,还行,2019-11-21
14,没有名字,北京,二流小言的本子，三流编剧，四流导演。一直觉得张鲁一长得像变态杀人狂，但是粉丝狂吹演技。我认真看了看，用力过猛。进度条拖一拖，当导演演员剧本的水平趋于平均，也就没有硬伤了，因为处处都是伤,较差,2019-11-24
15,一些光影, ,我几年前真的无比喜欢张鲁一。等了这么久终于有个现代轻喜剧，但是实在是太尴尬了，剧情非常儿戏，他也没有我想象中的演技好,还行,2019-12-11
16,缘啧唔, ,王子文真的超级适合这种又会撒娇，又有会梗点的角色，拿捏的很稳,推荐,2019-11-20
17,L.A.Darwinci,"München, Germany",没有曲筱筱的日子，安安也不错，看了4集，期待后续,还行,2019-11-22
18,半边山,江苏镇江,剧慌档是终于有新的剧可以追了，超级激动 看过张鲁一的很多剧，演技派,推荐,2019-11-20
19,niki,北京,真服了哦说把女主家庭主妇人设拍成傻白甜，自己身边主妇都是女超人，请问你身边主妇老公都是总经理吗？没过过好日子就别嫌人家当主妇悠闲，你看有几个家里有钱的自己累的要死带孩子。还有吐槽徐朗怎么多带儿童座椅的，到底有没有好好看戏，那个儿童座椅本来就是安安豆豆车里的。还有拿前半生做比较的，前半生那是自己老公出轨又和闺蜜男友搞在一起，哪里剧情一样了？服了你们这些人能不能不要为了黑而黑，前期不把女主拍的这么傻后面怎么成长，那些看了不到一集就来给差评抱怨不符合自己心里主妇形象，那请问主妇就得累的要死带孩子什么都干还不和老公发牢骚？那祝你们家庭幸福美满,推荐,2019-11-26
20,阿汪和小萝贝儿,"Los Angeles, United States",求求了，不要再做这种侮辱人的故事了。要讲女性成长就一定要先把她写成傻逼吗？可不可以现实一点，写得真实一些，即使没那么抓马，大家也愿意看的谢谢。,较差,2019-11-23
21,俺坏气十足, ,鱼旦终于不打鬼子了！甜甜的恋爱给我们搞起来！,力荐,2019-11-20
22,溯笔十七, ,王子文挺适合这种角色的自然不做作,推荐,2019-11-20
23,宋俣萱, ,90后的二婚，有点意思，可以观望观望,还行,2019-11-21
24,没有名字,北京,二流小言的本子，三流编剧，四流导演。一直觉得张鲁一长得像变态杀人狂，但是粉丝狂吹演技。我认真看了看，用力过猛。进度条拖一拖，当导演演员剧本的水平趋于平均，也就没有硬伤了，因为处处都是伤,较差,2019-11-24
25,一些光影, ,我几年前真的无比喜欢张鲁一。等了这么久终于有个现代轻喜剧，但是实在是太尴尬了，剧情非常儿戏，他也没有我想象中的演技好,还行,2019-12-11
26,缘啧唔, ,王子文真的超级适合这种又会撒娇，又有会梗点的角色，拿捏的很稳,推荐,2019-11-20
27,L.A.Darwinci,"München, Germany",没有曲筱筱的日子，安安也不错，看了4集，期待后续,还行,2019-11-22
28,半边山,江苏镇江,剧慌档是终于有新的剧可以追了，超级激动 看过张鲁一的很多剧，演技派,推荐,2019-11-20
29,niki,北京,真服了哦说把女主家庭主妇人设拍成傻白甜，自己身边主妇都是女超人，请问你身边主妇老公都是总经理吗？没过过好日子就别嫌人家当主妇悠闲，你看有几个家里有钱的自己累的要死带孩子。还有吐槽徐朗怎么多带儿童座椅的，到底有没有好好看戏，那个儿童座椅本来就是安安豆豆车里的。还有拿前半生做比较的，前半生那是自己老公出轨又和闺蜜男友搞在一起，哪里剧情一样了？服了你们这些人能不能不要为了黑而黑，前期不把女主拍的这么傻后面怎么成长，那些看了不到一集就来给差评抱怨不符合自己心里主妇形象，那请问主妇就得累的要死带孩子什么都干还不和老公发牢骚？那祝你们家庭幸福美满,推荐,2019-11-26
30,栗子侠,北京,非常不可理喻不切实际，王子文就跟曲筱绡死磕吧。,较差,2019-11-21
31,沄海流, ,为什么国产剧中的全职妈妈都要被刻画成无脑傻白甜的形象呢？？这是怀着多大的恶意啊！我身边的全职妈妈都是超人好么，超级辛苦也超级能干！！,很差,2019-11-21
32,陌上尘,广东珠海,开始不套路，但是戏剧性情节编的太弱智了，王蕾为了取胜把女主反锁在屋里，真的很弱智。,还行,2019-12-06
33,le serein, ,《我的前半生》可以含笑九泉了,很差,2019-11-21
34,要妖夭柒,上海,跳脱不出曲筱绡戏路的王子文真是没法看……,很差,2019-11-20
35,陪爸妈看奇葩剧, ,大套路剧，非常套路的模式，欢喜冤家相识，为了让又作又闹的女主不那么讨人厌，弄了个毫无智商的前夫，再弄个喜欢前夫的又贱又婊的女配，让这个又作又闹的女主显得楚楚可怜。后悔给《我的前半生》也打2星了，这就去修改一下，至少比这片高出一个档次。,较差,2019-11-24
36,王浩信的大长腿,"Manila, Philippines",标准国产流水线产品，每一个角色都是话痨，各种人物之间的对话多到让你怀疑人生，仿佛是给聋哑人士听的广播剧，不说话就不能拍了，演员光花精力背台词了，关于演技就请观众体谅吧，十分钟弃,很差,2019-11-21
37,我不乖, ,鱼旦你是不是被人抓到什么把柄了？这电视剧，感觉张鲁一就是被骗过来的，一个男主角，戏份那么少，造型也太差劲了，胡子拉碴，发型像是年代剧的，都不如妹妹头看着顺眼，这里面看看俞非凡，连王蕾的前男友这种配角造型都比张鲁一精致，所以，制片方恶意太大了，女主太傻了，但是我宁愿看傻的也不愿意看欢乐颂里作天作地的人设。,还行,2019-12-16
38,SSSSSSSS,江苏南京,我国电视剧对女性的塑造一定要是没脑子，胡搅蛮缠，不分是非么？？？女二一定都要是恶毒功利的反派么？？？没必要，真的没必要。我拜托编剧多动动脑子吧，这样的恋爱脑女性真的让人没有共鸣。两颗星给演员演技还行。,较差,2019-11-26
39,NoTeaNoShade,江苏苏州,编剧什么时候才能明白弱智低能无理取闹并不是萌……,较差,2019-11-28
40,栗子侠,北京,非常不可理喻不切实际，王子文就跟曲筱绡死磕吧。,较差,2019-11-21
41,沄海流, ,为什么国产剧中的全职妈妈都要被刻画成无脑傻白甜的形象呢？？这是怀着多大的恶意啊！我身边的全职妈妈都是超人好么，超级辛苦也超级能干！！,很差,2019-11-21
42,陌上尘,广东珠海,开始不套路，但是戏剧性情节编的太弱智了，王蕾为了取胜把女主反锁在屋里，真的很弱智。,还行,2019-12-06
43,le serein, ,《我的前半生》可以含笑九泉了,很差,2019-11-21
44,要妖夭柒,上海,跳脱不出曲筱绡戏路的王子文真是没法看……,很差,2019-11-20
45,陪爸妈看奇葩剧, ,大套路剧，非常套路的模式，欢喜冤家相识，为了让又作又闹的女主不那么讨人厌，弄了个毫无智商的前夫，再弄个喜欢前夫的又贱又婊的女配，让这个又作又闹的女主显得楚楚可怜。后悔给《我的前半生》也打2星了，这就去修改一下，至少比这片高出一个档次。,较差,2019-11-24
46,王浩信的大长腿,"Manila, Philippines",标准国产流水线产品，每一个角色都是话痨，各种人物之间的对话多到让你怀疑人生，仿佛是给聋哑人士听的广播剧，不说话就不能拍了，演员光花精力背台词了，关于演技就请观众体谅吧，十分钟弃,很差,2019-11-21
47,我不乖, ,鱼旦你是不是被人抓到什么把柄了？这电视剧，感觉张鲁一就是被骗过来的，一个男主角，戏份那么少，造型也太差劲了，胡子拉碴，发型像是年代剧的，都不如妹妹头看着顺眼，这里面看看俞非凡，连王蕾的前男友这种配角造型都比张鲁一精致，所以，制片方恶意太大了，女主太傻了，但是我宁愿看傻的也不愿意看欢乐颂里作天作地的人设。,还行,2019-12-16
48,SSSSSSSS,江苏南京,我国电视剧对女性的塑造一定要是没脑子，胡搅蛮缠，不分是非么？？？女二一定都要是恶毒功利的反派么？？？没必要，真的没必要。我拜托编剧多动动脑子吧，这样的恋爱脑女性真的让人没有共鸣。两颗星给演员演技还行。,较差,2019-11-26
49,NoTeaNoShade,江苏苏州,编剧什么时候才能明白弱智低能无理取闹并不是萌……,较差,2019-11-28
50,穆子衿,四川成都,女主前夫脑子不太好，拼死拼活和安安争了抚养权，又没好好照顾孩子。女主安安是个不太清醒的恋爱脑，为了爱情，放弃了一切，因此当爱情放弃她的时候，她就一无所有了。而且安安脑回路也很奇怪，她老公要和她离婚，她去找律师闹也是有点无语。而且一个结婚六年，孩子五岁的女人，居然连照顾自己的能力都没有。,较差,2019-11-26
51,👜 墨先生, ,许朗一个孩子，后座两个儿童座椅，导演真“细心”，怕半路偶遇的小朋友蹭车没儿童座椅，筹办一个几十人的酒会，一群服务员还忙忙活活把邱天拉走了，酒会说的那么高级，难道会连个提前筹备都没有？居然还出现人扮玩偶这种发传单的气氛烘托，真高级这酒会。导演你是在村支部水准啊！,很差,2019-11-20
